,0
0,2.0676764338463034
1,2.0678091011245967
2,2.067934405031312
3,2.0680523688925936
4,2.068164164846689
5,2.0682435175680847
6,2.0683220704331284
7,2.0684510715161952
8,2.0685724121578413
9,2.0686221322011336
10,2.0686733128978583
11,2.068777339318595
12,2.0688741846836907
13,2.0689847846218568
14,2.0691121071215686
15,2.0692300266759505
16,2.0693564012755883
17,2.069484398203121
18,2.069547657558116
19,2.069655415406766
20,2.069766846683129
21,2.069862298670692
22,2.069952796966698
23,2.0700402558707083
24,2.070127613371852
25,2.070200314519309
26,2.0702263542056323
27,2.0702502033273484
28,2.0703126711110538
29,2.0703571689704154
30,2.0703757149371222
31,2.0703969410118344
32,2.070477354793652
33,2.0705391122779204
34,2.070596357057252
35,2.0706761119752546
36,2.0707578378526197
37,2.0708492717612783
38,2.0709445349081093
39,2.0710953503924165
40,2.0712440211881407
41,2.0713208317342198
42,2.071399121825643
43,2.0714370003113878
44,2.071469432904257
45,2.0715398229882074
46,2.071609317840282
47,2.071679510184273
48,2.0717949684362575
49,2.071869628237382
50,2.0719418066613633
51,2.072053753985284
52,2.0721390016770047
53,2.0722195413943676
54,2.072366715598272
55,2.0725202905886095
56,2.072711930589447
57,2.072885442126603
58,2.0730316929306847
59,2.0731373076496094
60,2.0732990865878627
61,2.0733713305366694
62,2.0734446972459653
63,2.073528561571781
64,2.0736198289728547
65,2.07363007058906
66,2.0735824655932102
67,2.073518054900672
68,2.073318086226373
69,2.0728784171152035
70,2.0722788654245985
71,2.071468255592024
72,2.0703881705926435
73,2.0691124616324195
74,2.06767345560004
75,2.0660389117189397
76,2.064288666149577
77,2.062457072464283
78,2.0605523941754833
79,2.0585247630000922
80,2.05633576650582
81,2.0537026146594792
82,2.050582743243423
83,2.047148465710177
84,2.043043530479847
85,2.038316713124765
86,2.0330365362188725
87,2.027279373878005
88,2.0211909547747133
89,2.014544616696196
90,2.0072193975445565
91,1.9997389533888994
92,1.9916623750108442
93,1.98326973686995
94,1.974234356684765
95,1.9650099593560428
96,1.955542886068047
97,1.945774238604422
98,1.9357201754154552
99,1.9253162905257828
100,1.914603078457166
